description;date;time;duration_s;frequnecy;min;max;avg
balkon-24h-1h;22-11-2024;3:4:42;60;433920000;0.000631875;0.00233565;0.000930799
balkon-24h-1h;22-11-2024;3:5:57;60;433920000;0.000626423;0.00238273;0.000921397
balkon-24h-1h;22-11-2024;3:7:12;60;433920000;0.000622324;0.00251636;0.000925573
balkon-24h-1h;22-11-2024;3:8:27;60;433920000;0.000628929;0.00225622;0.000911244
balkon-24h-1h;22-11-2024;3:9:42;60;433920000;0.00063822;0.00253343;0.000940434
balkon-24h-1h;22-11-2024;3:10:57;60;433920000;0.000620385;0.00225583;0.000902712
balkon-24h-1h;22-11-2024;3:12:12;60;433920000;0.000620891;0.00236814;0.000924781
balkon-24h-1h;22-11-2024;3:13:27;60;433920000;0.000636515;0.0022733;0.000888846
balkon-24h-1h;22-11-2024;3:14:42;60;433920000;0.000628324;0.00230706;0.000894919
balkon-24h-1h;22-11-2024;3:15:57;60;433920000;0.000631346;0.00237207;0.0009007
balkon-24h-1h;22-11-2024;3:17:12;60;433920000;0.000628094;0.00227536;0.000865506
balkon-24h-1h;22-11-2024;3:18:27;60;433920000;0.00062943;0.00227484;0.000884279
balkon-24h-1h;22-11-2024;3:19:42;60;433920000;0.000631845;0.00217355;0.000882803
balkon-24h-1h;22-11-2024;3:20:57;60;433920000;0.000612789;0.00226622;0.00092226
balkon-24h-1h;22-11-2024;3:22:12;60;433920000;0.000612628;0.00218904;0.000863804
balkon-24h-1h;22-11-2024;3:23:27;60;433920000;0.000627236;0.00225652;0.000870988
balkon-24h-1h;22-11-2024;3:24:42;60;433920000;0.000625858;0.00212335;0.000876433
balkon-24h-1h;22-11-2024;3:25:57;60;433920000;0.000620736;0.00233523;0.000885498
balkon-24h-1h;22-11-2024;3:27:12;60;433920000;0.000624965;0.00225707;0.000910934
balkon-24h-1h;22-11-2024;3:28:27;60;433920000;0.000638863;0.00218868;0.000897608
balkon-24h-1h;22-11-2024;3:29:42;60;433920000;0.000651852;0.00224774;0.00090834
balkon-24h-1h;22-11-2024;3:30:57;60;433920000;0.00064069;0.0021907;0.000903827
balkon-24h-1h;22-11-2024;3:32:12;60;433920000;0.000639009;0.00226195;0.000897245
balkon-24h-1h;22-11-2024;3:33:27;60;433920000;0.000649401;0.00226108;0.000896747
balkon-24h-1h;22-11-2024;3:34:42;60;433920000;0.000651548;0.00236317;0.000928287
balkon-24h-1h;22-11-2024;3:35:57;60;433920000;0.00065073;0.00224591;0.000900568
balkon-24h-1h;22-11-2024;3:37:12;60;433920000;0.000652819;0.00224156;0.000898693
balkon-24h-1h;22-11-2024;3:38:27;60;433920000;0.000635582;0.00222848;0.000897989
balkon-24h-1h;22-11-2024;3:39:42;60;433920000;0.000645759;0.00230162;0.000918953
balkon-24h-1h;22-11-2024;3:40:57;60;433920000;0.000632988;0.00224169;0.000898613
balkon-24h-1h;22-11-2024;3:42:12;60;433920000;0.000634732;0.00235805;0.000902059
balkon-24h-1h;22-11-2024;3:43:27;60;433920000;0.000639153;0.00240028;0.000906497
balkon-24h-1h;22-11-2024;3:44:42;60;433920000;0.000635999;0.00260453;0.000900233
balkon-24h-1h;22-11-2024;3:45:57;60;433920000;0.000620541;0.00227988;0.000891684
balkon-24h-1h;22-11-2024;3:47:12;60;433920000;0.000624945;0.00223246;0.000888869
balkon-24h-1h;22-11-2024;3:48:27;60;433920000;0.000627188;0.0023742;0.000889538
balkon-24h-1h;22-11-2024;3:49:42;60;433920000;0.000626331;0.00226017;0.000897089
balkon-24h-1h;22-11-2024;3:50:57;60;433920000;0.0006174;0.00238512;0.000928379
balkon-24h-1h;22-11-2024;3:52:12;60;433920000;0.000621919;0.00232345;0.00087778
balkon-24h-1h;22-11-2024;3:53:27;60;433920000;0.000629922;0.00229712;0.000908362
balkon-24h-1h;22-11-2024;3:54:42;60;433920000;0.000629474;0.00223317;0.000894981
balkon-24h-1h;22-11-2024;3:55:57;60;433920000;0.000627196;0.00224001;0.000888771
balkon-24h-1h;22-11-2024;3:57:12;60;433920000;0.000633726;0.00230619;0.000888793
balkon-24h-1h;22-11-2024;3:58:27;60;433920000;0.000633843;0.00231925;0.000893095
balkon-24h-1h;22-11-2024;3:59:42;60;433920000;0.000642966;0.00231933;0.000904279
balkon-24h-1h;22-11-2024;4:0:57;60;433920000;0.000628541;0.00227512;0.000898017
balkon-24h-1h;22-11-2024;4:2:12;60;433920000;0.000633563;0.00234342;0.000882399
balkon-24h-1h;22-11-2024;4:3:27;60;433920000;0.000640662;0.00226983;0.000880977
balkon-24h-1h;22-11-2024;4:4:42;60;433920000;0.000643538;0.00233983;0.000897315
balkon-24h-1h;22-11-2024;4:5:57;60;433920000;0.000639678;0.00236046;0.000957546
balkon-24h-1h;22-11-2024;4:7:12;60;433920000;0.000644061;0.00243408;0.000925937
balkon-24h-1h;22-11-2024;4:8:27;60;433920000;0.000636254;0.00229634;0.00089512
balkon-24h-1h;22-11-2024;4:9:42;60;433920000;0.000633325;0.00227573;0.000886898
balkon-24h-1h;22-11-2024;4:10:57;60;433920000;0.000620567;0.00230283;0.000898953
balkon-24h-1h;22-11-2024;4:12:12;60;433920000;0.000631872;0.00231469;0.000886202
balkon-24h-1h;22-11-2024;4:13:27;60;433920000;0.000644271;0.00228821;0.00090224
balkon-24h-1h;22-11-2024;4:14:42;60;433920000;0.000642416;0.00247806;0.000895383
balkon-24h-1h;22-11-2024;4:15:57;60;433920000;0.000639035;0.00232333;0.000908556
